SMILES,molecule_chembl_id,IC50
CCn1cnc(-c2cc3nccc(Oc4ccc(NC(=O)N5CCN(c6ccccc6)C5=O)cc4F)c3s2)c1,CHEMBL453613,25.0
CN(C)CCn1cnc(-c2cc3nccc(Oc4ccc(NC(=O)N5CCN(c6ccccc6)C5=O)cc4F)c3s2)c1,CHEMBL445871,34.0
O=C(Nc1ccc(Oc2ccnc3cc(-c4cn(CCN5CCCC5)cn4)sc23)c(F)c1)N1CCN(c2ccccc2)C1=O,CHEMBL503524,35.0
Cn1ccnc1-c1cc2nccc(Oc3ccc(NC(=O)N4CCN(c5ccccc5)C4=O)cc3F)c2s1,CHEMBL510676,26.0
CCn1ccnc1-c1cc2nccc(Oc3ccc(NC(=O)N4CCN(c5ccccc5)C4=O)cc3F)c2s1,CHEMBL455655,24.0
O=C(Nc1ccc(Oc2ccnc3cc(-c4ccc(CN5CCNCC5)cc4)sc23)c(F)c1)N1CCN(c2ccccc2)C1=O,CHEMBL448276,22.0
CN1CCN(Cc2ccc(-c3cc4nccc(Oc5ccc(NC(=O)N6CCN(c7ccccc7)C6=O)cc5F)c4s3)cc2)CC1,CHEMBL447616,29.0
CNC(=O)N1CCN(Cc2ccc(-c3cc4nccc(Oc5ccc(NC(=O)N6CCN(c7ccccc7)C6=O)cc5F)c4s3)cc2)CC1,CHEMBL503016,16.0
CN1CCN(CCN(C)Cc2ccc(-c3cc4nccc(Oc5ccc(NC(=O)N6CCN(c7ccccc7)C6=O)cc5F)c4s3)cc2)CC1,CHEMBL508395,28.0
CC(=O)c1cccc(-c2cc3nccc(Oc4ccc(NC(=O)N5CCN(c6ccccc6)C5=O)cc4F)c3s2)c1,CHEMBL448993,200.0
CN(C)[C@H]1CCN(C(=O)c2cc3nccc(Oc4ccc(NC(=O)N5CCN(c6ccccc6)C5=O)cc4F)c3s2)C1,CHEMBL502621,42.0
CN1CC=C(c2cc3nccc(Oc4ccc(NC(=O)N5CCN(c6ccccc6)C5=O)cc4F)c3s2)CC1,CHEMBL508776,33.0
CCn1cnc(-c2cc3nccc(Oc4ccc(NC(=O)N5CCN(c6ccc(F)cc6)C5=O)cc4F)c3s2)c1,CHEMBL464211,27.0
CCn1cnc(-c2cc3nccc(Oc4ccc(NC(=O)N5CCN(c6ccccc6F)C5=O)cc4F)c3s2)c1,CHEMBL517469,21.0
CCn1cnc(-c2cc3nccc(Oc4ccc(NC(=O)N5CCN(c6ccccc6OC)C5=O)cc4F)c3s2)c1,CHEMBL462835,26.0
Cn1cnc(-c2cc3nccc(Oc4ccc(NC(=S)N5CCN(c6ccccc6)C5=O)cc4F)c3s2)c1,CHEMBL518676,24.0
Cn1cnc(-c2cc3nccc(Oc4ccc(NC(=O)N5CCN(c6ccccc6)C5=S)cc4F)c3s2)c1,CHEMBL464409,2000.0
O=C(Nc1ccc(Oc2ccnc3cc(-c4cn(CCCN5CCCC5)cn4)sc23)c(F)c1)N1CCN(c2ccccc2)C1=O,CHEMBL449757,300.0
N#Cc1ccc2[nH]c(-c3ccncc3)c(-c3ccc(F)c(Cl)c3)c2n1,CHEMBL521639,180.0
N#Cc1ccc2[nH]c(-c3ccnc(N)c3)c(-c3ccc(F)c(Cl)c3)c2n1,CHEMBL522155,130.0
N#Cc1ccc2[nH]c(-c3ccncc3)c(-c3cccc(Cl)c3)c2n1,CHEMBL493519,40.0
N#Cc1ccc2[nH]c(-c3cncnc3)c(-c3ccc(F)cc3)c2n1,CHEMBL493313,330.0
N#Cc1ccc2[nH]c(-c3ccncc3)c(-c3cc(F)cc(Cl)c3)c2n1,CHEMBL493511,340.0
N#Cc1ccc2[nH]c(-c3ccncc3)c(-c3ccc(F)c(F)c3)c2n1,CHEMBL524181,1590.0
N#Cc1ccc2[nH]c(-c3ccncc3)c(-c3ccc(F)cc3)c2n1,CHEMBL492761,1950.0
N#Cc1ccc2[nH]c(-c3ccncc3)c(-c3ccccc3)c2n1,CHEMBL492760,2090.0
N#Cc1ccc2[nH]c(-c3ccncc3)c(-c3cc(Cl)cc(Cl)c3)c2n1,CHEMBL510973,2550.0
N#Cc1ccc2[nH]c(-c3ccnc(NCc4ccccc4)c3)c(-c3ccc(F)c(Cl)c3)c2n1,CHEMBL492705,5570.0
N#Cc1ccc2[nH]c(-c3ccncc3)c(-c3ccc(Cl)cc3)c2n1,CHEMBL492912,10000.0
N#Cc1ccc2[nH]c(-c3ccncc3)c(-c3ccc(Cl)c(Cl)c3)c2n1,CHEMBL523853,10000.0
N#Cc1ccc2[nH]c(-c3ccncc3)c(-c3ccc(F)cc3F)c2n1,CHEMBL506851,10000.0
N#Cc1ccc2[nH]c(-c3ccnc(Cl)c3)c(-c3ccc(F)cc3)c2n1,CHEMBL521645,10000.0
N#Cc1ccc2[nH]c(-c3cccnc3)c(-c3ccc(F)cc3)c2n1,CHEMBL493510,10000.0
N#Cc1ccc2[nH]c(-c3cncnc3)c(-c3ccc(F)c(Cl)c3)c2n1,CHEMBL493314,10000.0
N#Cc1ccc2[nH]c(-c3cnc(N)nc3)c(-c3ccc(F)c(Cl)c3)c2n1,CHEMBL492706,10000.0
N#Cc1ccc2[nH]c(-c3ccc(N)nc3)c(-c3ccc(F)c(Cl)c3)c2n1,CHEMBL493321,10000.0
N#Cc1ccc2[nH]c(-c3cnc4[nH]ccc4c3)c(-c3ccc(F)c(Cl)c3)c2n1,CHEMBL522009,10000.0
N#Cc1ccc2[nH]c(-c3ccncc3)c(-c3ccc(Br)cc3)c2n1,CHEMBL523341,10000.0
N#Cc1ccc(-c2c(-c3ccncc3)[nH]c3ccc(C#N)nc23)cc1,CHEMBL524021,10000.0
COc1ccc2c(OCc3nnc4ccc(-c5ccccc5)nn34)ccnc2c1,CHEMBL496102,46.0
Oc1ccc(Cc2nnc3ccc(-c4ccco4)nn23)cc1,CHEMBL497119,132.0
Cc1cc(-c2ccc3nnc(Cc4ccc(O)cc4)n3n2)sn1,CHEMBL523413,2.0
Cc1csc(-c2ccc3nnc(Cc4ccc(O)cc4)n3n2)c1,CHEMBL497118,2.0
Oc1ccc(Cc2nnc3ccc(-c4ccsc4)nn23)cc1,CHEMBL497117,29.0
Oc1ccc(Cc2nnc3ccc(-c4cccs4)nn23)cc1,CHEMBL523386,6.0
CNC(=O)c1ccc(-c2ccc3nnc(Cc4ccc(O)cc4)n3n2)cc1Cl,CHEMBL494985,2.0
CNC(=O)c1ccc(-c2ccc3nnc(Cc4ccc(O)cc4)n3n2)cc1F,CHEMBL494984,3.0
CNC(=O)c1ccc(-c2ccc3nnc(Cc4ccc(O)cc4)n3n2)cc1,CHEMBL494983,16.0
COc1ccc2c(OCc3nnc4ccc(-c5cc(F)c(F)c(F)c5)nn34)ccnc2c1,CHEMBL494979,7.0
COc1ccc2c(OCc3nnc4ccc(-c5cc(F)cc(F)c5)nn34)ccnc2c1,CHEMBL494630,14.0
COc1ccc2c(OCc3nnc4ccc(-c5ccc(F)c(F)c5)nn34)ccnc2c1,CHEMBL522196,26.0
COc1ccc2c(OCc3nnc4ccc(-c5ccccc5F)nn34)ccnc2c1,CHEMBL494794,400.0
COc1ccc2c(OCc3nnc4ccc(-c5cccc(F)c5)nn34)ccnc2c1,CHEMBL494793,20.0
COc1ccc2c(OCc3nnc4ccc(-c5ccc(F)cc5)nn34)ccnc2c1,CHEMBL497968,42.0
O=c1cc2oc3cc(O)c(O)cc3c(-c3cccc(Cl)c3Cl)c-2cc1O,CHEMBL473332,30000.0
CC1=C(C(=O)Nc2ccc(Cl)cc2)C(c2cccc(C(F)(F)F)c2)N(C)C(=S)N1C,CHEMBL514624,30000.0
CC1=C(C#N)C(=O)N(Cc2ccccc2)C(=O)/C1=C\Nc1cc(Cl)ccc1O,CHEMBL473533,50000.0
CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,CHEMBL460702,20.0
COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(C)n(-c5ccccc5)c4=O)cc3F)ccnc2c1,CHEMBL460465,37.0
COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(CC(C)(C)O)n(-c5ccccc5)c4=O)cc3F)ccnc2c1,CHEMBL445799,50.0
COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(CC(C)=O)n(-c5ccccc5)c4=O)cc3F)ccnc2c1,CHEMBL461293,48.0
